corpus,candidate,mean_kld,kld_99.0,kld_99.9,same_top_p,dp_rms,mean_ppl_q,mean_ppl_base,ppl_ratio
agentic90k_plain,STRIX_f16,0.935851,19.363930,27.180052,86.999,13.838,14.629936,11.984294,1.220759
agentic90k_plain,STRIX_q8,0.935780,19.452557,27.228313,86.913,13.728,14.813650,11.984294,1.236089
agentic90k_plain,STRIX_q4,0.963900,19.898785,27.436668,86.844,13.616,15.741815,11.984294,1.313537
